operation,algorithm,message_size_bytes,avg_seconds,min_seconds,max_seconds,std_seconds
AES Encryption,AES-128,1024,4.656329867430031e-05,4.462499055080116e-05,6.258400389924645e-05,3.017470299676754e-06
AES Decryption,AES-128,1024,5.378079891670495e-05,5.1584007451310754e-05,9.024998871609569e-05,5.8973778858964774e-06
AES Encryption,AES-256,1024,5.0548259168863295e-05,4.6667002607136965e-05,9.283400140702724e-05,8.288683664271136e-06
AES Decryption,AES-256,1024,5.6992419995367524e-05,5.487498128786683e-05,8.699999307282269e-05,4.925721294353314e-06
AES Encryption,AES-128,102400,0.0009470874984981492,0.000932041002670303,0.0010367499780841172,1.7761953253558915e-05
AES Decryption,AES-128,102400,0.0009582666394999251,0.0009400839917361736,0.0010654589859768748,2.2172149194052522e-05
AES Encryption,AES-256,102400,0.0010999425186309962,0.0010875000152736902,0.0012203340011183172,2.0046724461550785e-05
AES Decryption,AES-256,102400,0.0011127983790356665,0.0010952919838018715,0.0011659169977065176,1.6731808520278864e-05
AES Encryption,AES-128,1048576,0.009239553300430999,0.00916408299235627,0.00943274999735877,5.87654836903636e-05
AES Decryption,AES-128,1048576,0.009240660900250077,0.009173457976430655,0.009475042024860159,5.748091600655434e-05
AES Encryption,AES-256,1048576,0.010837227498413995,0.010718500008806586,0.011018999997759238,7.067494767969947e-05
AES Decryption,AES-256,1048576,0.010857590000960045,0.010759875003714114,0.011017957993317395,5.8572553688186704e-05
RSA Signature Generation,RSA-2048,1024,0.03883650748000946,0.03849483298836276,0.03927741598454304,0.00019434023675673234
RSA Signature Verification,RSA-2048,1024,0.00059616168087814,0.0005700830079149455,0.0010292500082869083,6.852935445191261e-05
RSA Signature Generation,RSA-2048,102400,0.03956557499885093,0.038954207993810996,0.042840750014875084,0.0006924388141594696
RSA Signature Verification,RSA-2048,102400,0.0012291674414882437,0.0012165000080130994,0.0013080000062473118,1.306725440173244e-05
RSA Signature Generation,RSA-2048,1048576,0.05024755837745033,0.0451578329957556,0.1061859579931479,0.01215784187004445
RSA Signature Verification,RSA-2048,1048576,0.007722817484172992,0.0072956669901032,0.010479542019311339,0.0006403451582123998
RSA Session Key Encryption,RSA-2048 + AES-128,16,0.0006303091190056876,0.0006042910099495202,0.001098957989597693,6.927535873795132e-05
RSA Session Key Decryption,RSA-2048 + AES-128,16,0.03918880505952984,0.03840916699846275,0.05777695801225491,0.002679533625641556
RSA Session Key Encryption,RSA-2048 + AES-256,32,0.0006232934823492542,0.0006011670047882944,0.0007082500087562948,2.612966946053686e-05
RSA Session Key Decryption,RSA-2048 + AES-256,32,0.03874989746022038,0.038482667005155236,0.0392451660009101,0.00019261408168185195
